Query Description,ProblemStatement,Closure Comment,InternalRCA
Creation of External History Table regarding,,"As discussed, external_history table is not created by Product procedure, reporter needs to create the table","As discussed, external_history table is not created by Product procedure, reporter needs to create the table"
Restriction of language on multilingual option,,"As discussed over MS Teams, kindly remove the languages that you don't want in the 'Language selection' dropdown on Omniapp login page from the file multilingualconf.xml present at location omniflowconfiguration\ofcommon\.

Restart the application server and check.",
Mail server not able to connect with SMTP server,,"As discussed, Kindly follow the troubleshoot document shared through MS Teams to validate your issue. Also, the tester has been shared, kindly verify your configurations from it and do telnet the mail server from the system whether it is accessible or not. If it is not, kindly connect with mail server team at client end. The documents has been attached in the ticket as well.

To run and configure the tester, steps has been shared through MS Teams and mentioned here as:
 1. configure the config.ini with same configuration of mailing agent as of on ofservices
2. change java path in run.sh and compile.sh then run","As discussed, Kindly follow the troubleshoot document shared through MS Teams to validate your issue. Also, the tester has been shared, kindly verify your configurations from it and do telnet the mail server from the system whether it is accessible or not. If it is not, kindly connect with mail server team at client end. The documents has been attached in the ticket as well.

To run and configure the tester, steps has been shared through MS Teams and mentioned here as:
 1. configure the config.ini with same configuration of mailing agent as of on ofservices
2. change java path in run.sh and compile.sh then run"
Need to get row index for deleting a row.,We are facing difficulty in deleting listview.,"Write code snippet var result = str.replace(/,/g, """"); in hook selectRowHook() to achieve use case.",
Unable to Hold workitem,,"Please follow these steps for hold feature:

1.Go to process designer.
2.add the Timer event workstep.
3.open the timer event workstep properties.
4.select target workstep and click on save.
5.After that select the Workitem and click on hold option.
6.click on activity hold option.
7.select workstep name and click on ok button and check.",
Process variable visibility in My Queue,,Please raise separate ticket again if once available to showcase the issue.,
Separate Filter Options Required for table,,This is not feasible in iBPS,
Consolidated Package- SP3,,"SP3-Patch1 will be released this week only which will have codebase of all the hotfixes. So, kindly get the product upgraded to SP3-Patch 1 once it will be released.",
PDF Download Issue,,"user needs to have the license, without license there is no other possible way.",
Final Output is not displaying.,,Rule was not created properly,
Getting error while configuring view,,"1) Share console.log( nglogs/ibps-sec/omniapp
2)share seconfig folder (omniflowconfiguration/seconfig)

The logs you attached are empty.",
Case Creation API Error.,Error in Generate Registration .,Code level changes has been done in WFSUtil and provided to the reporter.,Code level changes has been done in WFSUtil and provided to the reporter.
Navigational form layout collapsing,On Nabigation form substep is not getting loaded in workitem,Please deploy hotfix IBPS5.2.1_269,NA
Need to restrict 'Reassign' opn to self queue only,,Pls refer the product manual for the query,
PMWTEMPLATEDEFINITIONTABLE column length issue,"We are facing issue in registering argument in argument list for template generation as length of column ARGLIST in  PMWTEMPLATEDEFINITIONTABLE is 2000.
Is there anyway to increase the length of ARGLIST column","As user was using multiple fields of same complex variable and had put entry in attribute section for all of them individually the limit got exceed but to overcome that we can use ""complexVarName.* ""  to get all field at ones instead of accessing every field individually.","As user was using multiple fields of same complex variable and had put entry in attribute section for all of them individually the limit got exceed but to overcome that we can use ""complexVarName.* ""  to get all field at ones instead of accessing every field individually."
Problem in search WI in history,"As discussed please create a history of the external table to get all the workitem moved through its external table to corresponding history table, running WFTransferData.","As discussed please create a history of the external table to get all the workitem moved through its external table to corresponding history table, running WFTransferData.",
